PeakID (cmd=annotatePeaks.pl reproducible_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr19-22	chr19	35248110	35248372	+	1	NA	promoter-TSS (ENST00000347609.8)	protein_coding-promoter-TSS (ENST00000347609.8)	-89	ENST00000597933.5	ENSG00000105699	ENST00000360798			LSR			protein_coding
chr3-20	chr3	149752439	149752701	+	1	NA	promoter-TSS (ENST00000463077.5)	protein_coding-promoter-TSS (ENST00000463077.5)	-75	ENST00000469896.1	ENSG00000114744	ENST00000483146			COMMD2			protein_coding
chr14-88	chr14	105490910	105491172	+	1	NA	promoter-TSS (ENST00000354560.10)	protein_coding-promoter-TSS (ENST00000354560.10)	-24	ENST00000421892.5	ENSG00000185347	ENST00000450383			TEDC1			protein_coding
chr9-219	chr9	81689388	81689650	+	1	NA	promoter-TSS (ENST00000376499.8)	protein_coding-promoter-TSS (ENST00000376499.8)	28	ENST00000376499.8	ENSG00000196781	ENST00000418319			TLE1			protein_coding
chr6-131	chr6	24359934	24360196	+	1	NA	Intergenic	Intergenic	-2006	ENST00000378454.8	ENSG00000146038	ENST00000378454			DCDC2			protein_coding
chr5-63	chr5	90474609	90474871	+	1	NA	promoter-TSS (ENST00000316610.7)	protein_coding-promoter-TSS (ENST00000316610.7)	31	ENST00000316610.7	ENSG00000176055	ENST00000316610			MBLAC2			protein_coding
chr15-53	chr15	55408337	55408599	+	1	NA	promoter-TSS (ENST00000310958.10)	protein_coding-promoter-TSS (ENST00000310958.10)	-27	ENST00000569691.2	ENSG00000261652	ENST00000570794			PIERCE2			protein_coding
chr15-52	chr15	31296701	31296963	+	1	NA	Intergenic	Intergenic	-30003	ENST00000307145.4	ENSG00000169926	ENST00000558844			KLF13			protein_coding
chr14-213	chr14	61553847	61554109	+	1	NA	intron (ENST00000556347.1, intron 3 of 3)	protein_coding-intron (ENST00000556347.1, intron 3 of 3)	-8494	ENST00000657687.1	ENSG00000258926	ENST00000654868			ENSG00000258926			lncRNA
chr9-76	chr9	106794258	106794520	+	1	NA	Intergenic	Intergenic	49477	ENST00000390974.1	ENSG00000212276	ENST00000390974			RNA5SP292			rRNA_pseudogene
chr14-75	chr14	21103798	21104060	+	1	NA	promoter-TSS (ENST00000555697.1)	protein_coding-promoter-TSS (ENST00000555697.1)	287	ENST00000624093.1	ENSG00000165804	ENST00000555697			ZNF219			protein_coding
chr16-74	chr16	2868182	2868444	+	1	NA	promoter-TSS (ENST00000575693.2)	lncRNA-promoter-TSS (ENST00000575693.2)	-62	ENST00000662388.1	ENSG00000263280	ENST00000575693			ENSG00000263280			lncRNA
chr19-23	chr19	1170379	1170641	+	1	NA	intron (ENST00000587024.5, intron 1 of 31)	protein_coding-intron (ENST00000361757.8, intron 1 of 31)	-1364	ENST00000587655.2	ENSG00000064932	ENST00000586109			SBNO2			protein_coding
chr1-646	chr1	28552876	28553138	+	1	NA	promoter-TSS (ENST00000373830.4)	protein_coding-promoter-TSS (ENST00000373830.4)	-78	ENST00000373830.4	ENSG00000180098	ENST00000495215			TRNAU1AP			protein_coding
chr17-2038	chr17	75998339	75998601	+	1	NA	intron (ENST00000649294.1, intron 3 of 10)	protein_coding-intron (ENST00000397640.6, intron 3 of 3)	-2385	ENST00000448471.3	ENSG00000250506	ENST00000448471			CDK3			protein_coding
chr5-27	chr5	141879258	141879520	+	1	NA	promoter-TSS (ENST00000287008.8)	protein_coding-promoter-TSS (ENST00000287008.8)	-143	ENST00000514773.1	ENSG00000156453	ENST00000505937			PCDH1			protein_coding
chr1-318	chr1	156213072	156213334	+	1	NA	TTS (ENST00000359511.5)	protein_coding-TTS (ENST00000359511.5)	177	ENST00000497069.2	ENSG00000160783	ENST00000368277			PMF1			protein_coding
chr15-491	chr15	63157242	63157504	+	1	NA	promoter-TSS (ENST00000455271.5)	protein_coding-promoter-TSS (ENST00000455271.5)	-92	ENST00000455271.5	ENSG00000185088	ENST00000330964			RPS27L			protein_coding
chr9-298	chr9	124267570	124267832	+	1	NA	intron (ENST00000425237.5, intron 1 of 7)	protein_coding-intron (ENST00000320246.10, intron 1 of 9)	4825	ENST00000437461.1	ENSG00000227200	ENST00000437461			ENSG00000227200			lncRNA
chr16-300	chr16	73172740	73173002	+	1	NA	intron (ENST00000641206.2, intron 5 of 17)	protein_coding-intron (ENST00000641206.2, intron 5 of 17)	-28424	ENST00000358463.2	ENSG00000140836	ENST00000641018			ZFHX3			protein_coding
chr16-121	chr16	30526828	30527090	+	1	NA	promoter-TSS (ENST00000380412.7)	protein_coding-promoter-TSS (ENST00000380412.7)	41	ENST00000624451.1	ENSG00000278922	ENST00000624451			ENSG00000278922			TEC
chr15-57	chr15	83067235	83067497	+	1	NA	promoter-TSS (ENST00000261721.9)	protein_coding-promoter-TSS (ENST00000261721.9)	31	ENST00000584082.1	ENSG00000263643	ENST00000584082			MIR4515			miRNA
chr2-393	chr2	137202381	137202643	+	1	NA	intron (ENST00000409968.6, intron 7 of 27)	protein_coding-intron (ENST00000409968.6, intron 7 of 27)	46552	ENST00000485379.1	ENSG00000144229	ENST00000409968			THSD7B			protein_coding
chr2-33	chr2	237559078	237559340	+	1	NA	Intergenic	Intergenic	-3956	ENST00000410517.1	ENSG00000222449	ENST00000410517			RNU6-1140P			snRNA
chr3-18	chr3	189324776	189325038	+	1	NA	exon (ENST00000345063.8, exon 6 of 6)	protein_coding-exon (ENST00000345063.8, exon 6 of 6)	15013	ENST00000481307.1	ENSG00000188001	ENST00000488841			TPRG1			protein_coding
chr1-166	chr1	15285079	15285341	+	1	NA	intron (ENST00000688493.1, intron 3 of 33)	protein_coding-intron (ENST00000358897.8, intron 3 of 30)	-1835	ENST00000462113.1	ENSG00000142621	ENST00000472086			FHAD1			protein_coding
chr7-309	chr7	139133570	139133832	+	1	NA	promoter-TSS (ENST00000343187.8)	protein_coding-promoter-TSS (ENST00000343187.8)	-43	ENST00000430935.5	ENSG00000105948	ENST00000468866			IFT56			protein_coding
chr7-62	chr7	1255068	1255330	+	1	NA	Intergenic	Intergenic	-12154	ENST00000453798.1	ENSG00000233082	ENST00000453798			ENSG00000233082			lncRNA
chr10-51	chr10	12605767	12606029	+	1	NA	intron (ENST00000619168.5, intron 2 of 10)	protein_coding-intron (ENST00000378845.5, intron 2 of 9)	27145	ENST00000582492.1	ENSG00000263584	ENST00000582492			MIR4480			miRNA
chr6-62	chr6	37172134	37172396	+	1	NA	promoter-TSS (ENST00000468243.5)	protein_coding-promoter-TSS (ENST00000468243.5)	-203	ENST00000468243.5	ENSG00000137193	ENST00000479509			PIM1			protein_coding
chr8-94	chr8	92965648	92965910	+	1	NA	promoter-TSS (ENST00000519969.5)	protein_coding-promoter-TSS (ENST00000519969.5)	-190	ENST00000519969.5	ENSG00000205133	ENST00000522903			TRIQK			protein_coding
chr19-27	chr19	11344398	11344660	+	1	NA	promoter-TSS (ENST00000587100.1)	protein_coding-promoter-TSS (ENST00000587100.1)	-155	ENST00000589186.5	ENSG00000183401	ENST00000592723			CCDC159			protein_coding
chr1-420	chr1	153608309	153608571	+	1	NA	promoter-TSS (ENST00000368703.6)	protein_coding-promoter-TSS (ENST00000368703.6)	-118	ENST00000368703.6	ENSG00000188643	ENST00000368703			S100A16			protein_coding
chr20-3151	chr20	50269428	50269690	+	1	NA	intron (ENST00000445003.5, intron 1 of 2)	lncRNA-intron (ENST00000422459.3, intron 1 of 3)	2060	ENST00000445003.5	ENSG00000224397	ENST00000692392			PELATON			lncRNA
chr7-150	chr7	123748907	123749169	+	1	NA	promoter-TSS (ENST00000223023.5)	protein_coding-promoter-TSS (ENST00000223023.5)	-30	ENST00000607957.1	ENSG00000272686	ENST00000607957			WASL-DT			lncRNA
chr6-150	chr6	31652006	31652268	+	1	NA	promoter-TSS (ENST00000375918.6)	protein_coding-promoter-TSS (ENST00000375918.6)	16	ENST00000428326.5	ENSG00000204463	ENST00000433828			BAG6			protein_coding
chr1-133	chr1	202927014	202927276	+	1	NA	promoter-TSS (ENST00000367261.8)	protein_coding-promoter-TSS (ENST00000367261.8)	89	ENST00000367261.8	ENSG00000117153	ENST00000367258			KLHL12			protein_coding
chr1-19	chr1	202034794	202035056	+	1	NA	Intergenic	Intergenic	-4926	ENST00000457453.1	ENSG00000235811	ENST00000457453			ENSG00000235811			processed_pseudogene
chr1-132	chr1	152036985	152037247	+	1	NA	promoter-TSS (ENST00000271638.3)	protein_coding-promoter-TSS (ENST00000271638.3)	-112	ENST00000271638.3	ENSG00000163191	ENST00000271638			S100A11			protein_coding
chr16-165	chr16	84851350	84851612	+	1	NA	intron (ENST00000569262.5, intron 5 of 9)	protein_coding-intron (ENST00000262424.10, intron 5 of 14)	2264	ENST00000566789.1	ENSG00000103196	ENST00000569090			CRISPLD2			protein_coding
chr9-224	chr9	109500515	109500777	+	1	NA	intron (ENST00000674068.1, intron 1 of 2)	protein_coding-intron (ENST00000674068.1, intron 1 of 2)	2321	ENST00000674068.1	ENSG00000157654	ENST00000497711			PALM2AKAP2			protein_coding
chr7-28	chr7	100100545	100100807	+	1	NA	promoter-TSS (ENST00000359593.9)	protein_coding-promoter-TSS (ENST00000359593.9)	64	ENST00000710815.1	ENSG00000166508	ENST00000710815			MCM7			protein_coding
chr6-28	chr6	26188958	26189220	+	1	NA	promoter-TSS (ENST00000614247.2)	protein_coding-promoter-TSS (ENST00000614247.2)	23	ENST00000614247.2	ENSG00000277157	ENST00000614247			H4C4			protein_coding
chr11-49	chr11	117887977	117888239	+	1	NA	Intergenic	Intergenic	-10622	ENST00000527717.5	ENSG00000137726	ENST00000527053			FXYD6			protein_coding
chr2-44	chr2	196292299	196292561	+	1	NA	exon (ENST00000644405.1, exon 4 of 4)	protein_coding-exon (ENST00000644405.1, exon 4 of 4)	3021	ENST00000616437.1	ENSG00000276200	ENST00000616437			RN7SL820P			misc_RNA
chr14-126	chr14	74881563	74881825	+	1	NA	promoter-TSS (ENST00000238671.11)	protein_coding-promoter-TSS (ENST00000238671.11)	-197	ENST00000556460.5	ENSG00000119689	ENST00000550473			DLST			protein_coding
chr7-373	chr7	128410210	128410472	+	1	NA	promoter-TSS (ENST00000338791.11)	protein_coding-promoter-TSS (ENST00000338791.11)	-355	ENST00000497868.5	ENSG00000106348	ENST00000469328			IMPDH1			protein_coding
chr1-137	chr1	58815247	58815509	+	1	NA	exon (ENST00000669294.1, exon 2 of 2)	lncRNA-exon (ENST00000669294.1, exon 2 of 2)	943	ENST00000702876.1	ENSG00000234807	ENST00000649834			LINC01135			lncRNA
chr1-1	chr1	205211584	205211846	+	1	NA	promoter-TSS (ENST00000367161.7)	protein_coding-promoter-TSS (ENST00000367161.7)	-13	ENST00000367162.8	ENSG00000133059	ENST00000367161			DSTYK			protein_coding
chr21-42	chr21	35677572	35677834	+	1	NA	intron (ENST00000475045.6, intron 6 of 12)	protein_coding-intron (ENST00000475045.6, intron 6 of 12)	-43012	ENST00000390235.1	ENSG00000211590	ENST00000390235			MIR802			miRNA
chr8-718	chr8	11820365	11820627	+	1	NA	intron (ENST00000443614.6, intron 3 of 6)	protein_coding-intron (ENST00000220584.9, intron 3 of 7)	-1285	ENST00000528729.2	ENSG00000079459	ENST00000529464			FDFT1			protein_coding
chr2-227	chr2	163839053	163839315	+	1	NA	intron (ENST00000429636.1, intron 4 of 4)	lncRNA-intron (ENST00000429636.1, intron 4 of 4)	74437	ENST00000666867.1	ENSG00000237844	ENST00000429636			ENSG00000237844			lncRNA
chr12-154	chr12	57487758	57488020	+	1	NA	promoter-TSS (ENST00000262027.10)	protein_coding-promoter-TSS (ENST00000262027.10)	-135	ENST00000548674.5	ENSG00000166986	ENST00000551805			MARS1			protein_coding
chr15-206	chr15	73951180	73951442	+	1	NA	intron (ENST00000566011.5, intron 7 of 7)	protein_coding-intron (ENST00000261921.8, intron 6 of 6)	3483	ENST00000567675.1	ENSG00000129038	ENST00000562548			LOXL1			protein_coding
chr6-10	chr6	7313266	7313528	+	1	NA	promoter-TSS (ENST00000244763.9)	protein_coding-promoter-TSS (ENST00000244763.9)	-166	ENST00000483409.1	ENSG00000124783	ENST00000397511			SSR1			protein_coding
chr1-229	chr1	96164426	96164688	+	1	NA	Intergenic	Intergenic	-61344	ENST00000363930.1	ENSG00000200800	ENST00000363930			RNU1-130P			snRNA
chr10-30	chr10	22436872	22437134	+	1	NA	intron (ENST00000487973.1, intron 2 of 3)	protein_coding-intron (ENST00000487973.1, intron 2 of 3)	39061	ENST00000674076.1	ENSG00000285254	ENST00000642887			ENSG00000285254			unitary_pseudogene
chr6-51	chr6	42118783	42119045	+	1	NA	intron (ENST00000341865.9, intron 2 of 4)	protein_coding-intron (ENST00000341865.9, intron 2 of 4)	23705	ENST00000356542.5	ENSG00000188112	ENST00000696229			C6orf132			protein_coding
chr7-10	chr7	158829875	158830137	+	1	NA	promoter-TSS (ENST00000251527.10)	protein_coding-promoter-TSS (ENST00000251527.10)	247	ENST00000497111.1	ENSG00000117868	ENST00000251527			ESYT2			protein_coding
chr14-136	chr14	61568711	61568973	+	1	NA	intron (ENST00000553288.5, intron 1 of 3)	lncRNA-intron (ENST00000508827.1, intron 2 of 4)	1352	ENST00000553288.5	ENSG00000250548	ENST00000668001			LINC01303			lncRNA
chr20-1319	chr20	44521703	44521965	+	1	NA	intron (ENST00000468234.1, intron 1 of 2)	protein_coding-intron (ENST00000255175.5, intron 1 of 10)	220	ENST00000468234.1	ENSG00000132824	ENST00000411544			SERINC3			protein_coding
chr1-280	chr1	174968715	174968977	+	1	NA	TTS (ENST00000686005.1)	lncRNA-TTS (ENST00000686005.1)	1518	ENST00000686005.1	ENSG00000289425	ENST00000686005			ENSG00000289425			lncRNA
chr20-1036	chr20	45342258	45342520	+	1	NA	intron (ENST00000372733.3, intron 1 of 4)	protein_coding-intron (ENST00000372733.3, intron 1 of 4)	3434	ENST00000613646.1	ENSG00000275894	ENST00000613646			ENSG00000275894			lncRNA
chr14-218	chr14	75277253	75277515	+	1	NA	Intergenic	Intergenic	-1442	ENST00000554617.1	ENSG00000170345	ENST00000556324			FOS			protein_coding
chr6-42	chr6	43092704	43092966	+	1	NA	intron (ENST00000481273.5, intron 1 of 19)	protein_coding-intron (ENST00000230418.8, intron 1 of 18)	16021	ENST00000481273.5	ENSG00000112655	ENST00000497957			PTK7			protein_coding
chr7-42	chr7	100081724	100081986	+	1	NA	promoter-TSS (ENST00000292393.9)	protein_coding-promoter-TSS (ENST00000292393.9)	-91	ENST00000424697.5	ENSG00000166526	ENST00000424697			ZNF3			protein_coding
chr5-149	chr5	61408704	61408966	+	1	NA	intron (ENST00000252744.6, intron 1 of 13)	protein_coding-intron (ENST00000252744.6, intron 1 of 13)	-16964	ENST00000474162.1	ENSG00000213891	ENST00000474162			RPL3P6			processed_pseudogene
chr16-219	chr16	82170286	82170548	+	1	NA	promoter-TSS (ENST00000258169.9)	protein_coding-promoter-TSS (ENST00000258169.9)	121	ENST00000563841.1	ENSG00000261029	ENST00000563841			MPHOSPH6-DT			lncRNA
chr17-1615	chr17	68457839	68458101	+	1	NA	promoter-TSS (ENST00000262139.10)	protein_coding-promoter-TSS (ENST00000262139.10)	-457	ENST00000586815.1	ENSG00000070540	ENST00000589316			WIPI1			protein_coding
chr15-152	chr15	71691819	71692081	+	1	NA	intron (ENST00000567838.1, intron 1 of 9)	protein_coding-intron (ENST00000261862.8, intron 8 of 17)	31420	ENST00000567776.2	ENSG00000187720	ENST00000357769			THSD4			protein_coding
chr1-100	chr1	114716776	114717038	+	1	NA	promoter-TSS (ENST00000369535.5)	protein_coding-promoter-TSS (ENST00000369535.5)	-136	ENST00000369535.5	ENSG00000213281	ENST00000369535			NRAS			protein_coding
chr20-1719	chr20	45348136	45348398	+	1	NA	intron (ENST00000372733.3, intron 1 of 4)	protein_coding-intron (ENST00000372733.3, intron 1 of 4)	157	ENST00000372733.3	ENSG00000124145	ENST00000372733			SDC4			protein_coding
chr22-85	chr22	50293343	50293605	+	1	NA	intron (ENST00000449103.5, intron 2 of 36)	protein_coding-intron (ENST00000359337.9, intron 2 of 36)	-3913	ENST00000411680.1	ENSG00000196576	ENST00000492578			PLXNB2			protein_coding
chr7-82	chr7	28956663	28956925	+	1	NA	promoter-TSS (ENST00000436594.1)	lncRNA-promoter-TSS (ENST00000436594.1)	-873	ENST00000436594.1	ENSG00000228421	ENST00000436594			ENSG00000228421			lncRNA
chr10-108	chr10	79240135	79240397	+	1	NA	intron (ENST00000334512.10, intron 7 of 24)	protein_coding-intron (ENST00000334512.10, intron 7 of 24)	-3403	ENST00000472035.5	ENSG00000108175	ENST00000472035			ZMIZ1			protein_coding
chr10-221	chr10	101066122	101066384	+	1	NA	promoter-TSS (ENST00000465807.1)	protein_coding-promoter-TSS (ENST00000465807.1)	-46	ENST00000465807.1	ENSG00000107821	ENST00000465807			KAZALD1			protein_coding
chr1-510	chr1	182789492	182789754	+	1	NA	promoter-TSS (ENST00000367553.6)	protein_coding-promoter-TSS (ENST00000367553.6)	-114	ENST00000463899.5	ENSG00000135838	ENST00000367553			NPL			protein_coding
chr21-8	chr21	39313597	39313859	+	1	NA	promoter-TSS (ENST00000333229.6)	protein_coding-promoter-TSS (ENST00000333229.6)	-86	ENST00000341322.4	ENSG00000185658	ENST00000445668			BRWD1			protein_coding
chr15-689	chr15	69452983	69453245	+	1	NA	promoter-TSS (ENST00000488122.2)	protein_coding-promoter-TSS (ENST00000488122.2)	95	ENST00000488122.2	ENSG00000137818	ENST00000260379			RPLP1			protein_coding
chr16-385	chr16	31074235	31074497	+	1	NA	promoter-TSS (ENST00000300849.5)	protein_coding-promoter-TSS (ENST00000300849.5)	-56	ENST00000300850.5	ENSG00000167395	ENST00000300850			ZNF646			protein_coding
chr10-231	chr10	3046010	3046272	+	1	NA	intron (ENST00000658425.1, intron 1 of 1)	lncRNA-intron (ENST00000658425.1, intron 1 of 1)	942	ENST00000658425.1	ENSG00000287560	ENST00000658425			ENSG00000287560			lncRNA
chr7-247	chr7	1046797	1047059	+	1	NA	intron (ENST00000444847.2, intron 1 of 1)	protein_coding-intron (ENST00000357429.10, intron 2 of 4)	2323	ENST00000481403.1	ENSG00000164849	ENST00000481403			GPR146			protein_coding
chr22-11	chr22	37607014	37607276	+	1	NA	Intergenic	Intergenic	-1580	ENST00000381756.9	ENSG00000100083	ENST00000460957			GGA1			protein_coding
chr8-444	chr8	22748355	22748617	+	1	NA	intron (ENST00000523627.1, intron 4 of 4)	protein_coding-intron (ENST00000256404.8, intron 4 of 6)	983	ENST00000521141.1	ENSG00000253125	ENST00000519624			ENSG00000253125			lncRNA
chr8-238	chr8	100746387	100746649	+	1	NA	Intergenic	Intergenic	-6591	ENST00000408600.1	ENSG00000221527	ENST00000408600			RNU6ATAC41P			snRNA
chr15-92	chr15	90095483	90095745	+	1	NA	intron (ENST00000559482.5, intron 1 of 7)	protein_coding-intron (ENST00000330062.8, intron 1 of 10)	5081	ENST00000540499.2	ENSG00000182054	ENST00000540499			IDH2			protein_coding
chr19-130	chr19	56121309	56121571	+	1	NA	promoter-TSS (ENST00000587279.1)	protein_coding-promoter-TSS (ENST00000587279.1)	-145	ENST00000610935.2	ENSG00000142409	ENST00000610935			ZNF787			protein_coding
chr1-359	chr1	115670894	115671156	+	1	NA	promoter-TSS (ENST00000474344.1)	protein_coding-promoter-TSS (ENST00000474344.1)	-20	ENST00000478369.5	ENSG00000173218	ENST00000355485			VANGL1			protein_coding
chr4-17	chr4	3868424	3868686	+	1	NA	Intergenic	Intergenic	21694	ENST00000505943.1	ENSG00000251166	ENST00000505943			OR7E163P			unprocessed_pseudogene
chr19-120	chr19	12786522	12786784	+	1	NA	promoter-TSS (ENST00000585074.1)	miRNA-promoter-TSS (ENST00000585074.1)	-475	ENST00000585074.1	ENSG00000263800	ENST00000585074			MIR5684			miRNA
chr5-34	chr5	133249384	133249646	+	1	NA	TTS (ENST00000515122.1)	lncRNA-TTS (ENST00000515122.1)	2749	ENST00000507112.1	ENSG00000053108	ENST00000514998			FSTL4			protein_coding
chr1-241	chr1	162285290	162285552	+	1	NA	intron (ENST00000530878.5, intron 2 of 9)	protein_coding-intron (ENST00000361897.10, intron 2 of 9)	32373	ENST00000447899.1	ENSG00000227094	ENST00000447899			ENSG00000227094			lncRNA
chr11-326	chr11	67267666	67267928	+	1	NA	intron (ENST00000526285.1, intron 1 of 13)	protein_coding-intron (ENST00000308595.10, intron 1 of 20)	1316	ENST00000526285.1	ENSG00000173020	ENST00000531390			GRK2			protein_coding
chr15-3	chr15	70892389	70892651	+	1	NA	promoter-TSS (ENST00000249861.9)	protein_coding-promoter-TSS (ENST00000249861.9)	49	ENST00000559201.5	ENSG00000137821	ENST00000436542			LRRC49			protein_coding
chr15-93	chr15	92820283	92820545	+	1	NA	promoter-TSS (ENST00000691828.1)	lncRNA-promoter-TSS (ENST00000691828.1)	-30	ENST00000691828.1	ENSG00000289200	ENST00000691828			ENSG00000289200			lncRNA
chr2-16	chr2	23927159	23927421	+	1	NA	promoter-TSS (ENST00000238789.10)	protein_coding-promoter-TSS (ENST00000238789.10)	5	ENST00000446425.2	ENSG00000173960	ENST00000309033			UBXN2A			protein_coding
chr2-170	chr2	46409234	46409496	+	1	NA	Intergenic	Intergenic	-15137	ENST00000418415.2	ENSG00000228100	ENST00000665509			LINC01820			lncRNA
chr13-6	chr13	21603940	21604202	+	1	NA	promoter-TSS (ENST00000382374.9)	protein_coding-promoter-TSS (ENST00000382374.9)	94	ENST00000469058.1	ENSG00000165487	ENST00000460488			MICU2			protein_coding
chr2-352	chr2	219541948	219542210	+	1	NA	exon (ENST00000243776.11, exon 2 of 4)	protein_coding-exon (ENST00000243776.11, exon 2 of 4)	1018	ENST00000535926.3	ENSG00000123989	ENST00000243776			CHPF			protein_coding
chr11-376	chr11	64842764	64843026	+	1	NA	intron (ENST00000342711.6, intron 1 of 36)	protein_coding-intron (ENST00000342711.6, intron 1 of 36)	1758	ENST00000342711.6	ENSG00000171219	ENST00000491280			CDC42BPG			protein_coding
chr1-545	chr1	52698173	52698435	+	1	NA	promoter-TSS (ENST00000371538.5)	protein_coding-promoter-TSS (ENST00000371538.5)	43	ENST00000371538.5	ENSG00000162377	ENST00000486918			COA7			protein_coding
chr17-355	chr17	49101110	49101372	+	1	NA	Intergenic	Intergenic	15730	ENST00000508857.2	ENSG00000248883	ENST00000508857			B4GALNT2P1			unprocessed_pseudogene
chr12-281	chr12	103930355	103930617	+	1	NA	promoter-TSS (ENST00000299767.10)	protein_coding-promoter-TSS (ENST00000299767.10)	48	ENST00000548462.5	ENSG00000166598	ENST00000681861			HSP90B1			protein_coding
